Resource,APTGroup,Entry Point,Language,Library
4d74c8da7274bb56bab01f47334a9551f57a6dcf,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
cc221465dac981f4934fef39d41ddb2e1d26299f,APT 21,7627,"['ENGLISH US', 'CHINESE SIMPLIFIED']",['KERNEL32.dll']
a49718feddf874a62049809af51e858ad41897c4,APT 1,38026,"['NEUTRAL DEFAULT', 'ENGLISH US']","['GDI32.dll', 'ADVAPI32.dll', 'KERNEL32.dll', 'OLEAUT32.dll', 'SHELL32.dll', 'ole32.dll', 'SHLWAPI.dll', 'USER32.dll', 'COMCTL32.dll']"
78c00614535b949770708069615764d0155cad76,Gorgon Group,396884,"['NEUTRAL', 'ENGLISH US']","['comdlg32.dll', 'version.dll', 'gdi32.dll', 'kernel32.dll', 'oleaut32.dll', 'advapi32.dll', 'user32.dll', 'comctl32.dll']"
44787ddf91b10291f8338590c5d99839040e1cd5,APT 21,6948,['ENGLISH US'],"['SHELL32.dll', 'KERNEL32.dll']"
f43d85ef04b9f32d708d1ac664c419d9d946f13c,Gorgon Group,,[],[]
2f1e006fae9b161fd6f43d1d3dc585d4dfed9a96,APT 1,103376,"['FRENCH', 'ENGLISH US']","['ADVAPI32.dll', 'PSAPI.DLL', 'Secur32.dll', 'KERNEL32.dll']"
0bfceffb5d78ceab6cfae711c9728fbd9a5e2edc,APT 1,35109,['ENGLISH US'],"['MSVCP60.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WININET.dll', 'USER32.dll']"
7640b1a91d48a1e20c7df7304a2e15df07e6a966,Equation Group,54299,"['NEUTRAL', 'ENGLISH US']","['ADVAPI32.dll', 'KERNEL32.dll', 'MSVCRT.dll', 'WS2_32.dll', 'USER32.dll']"
49b973555890f1bda67a12a5927de1a9691005ca,Dark Hotel,45648,['NEUTRAL'],"['advapi32.dll', 'kernel32.dll', 'user32.dll']"
