,Resource,APT Group,Entry Point,'ACTIVEDS.DLL','ADVAPI32.DLL','API-MS-WIN-CRT-HEAP-L1-1-0.DLL','API-MS-WIN-CRT-LOCALE-L1-1-0.DLL','API-MS-WIN-CRT-MATH-L1-1-0.DLL','API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL','API-MS-WIN-CRT-STDIO-L1-1-0.DLL','ATL71.DLL','ATL80.DLL','AVICAP32.DLL','AVIFIL32.DLL','CABINET.DLL','COMCTL32.DLL','COMDLG32.DLL','COMSVCS.DLL','CRT.DLL','CRYPT32.DLL','D3D9.DLL','D3DX9_32.DLL','D3DX9_42.DLL','D3DXOF.DLL','DBGHELP.DLL','DDRAW.DLL','DINPUT.DLL','DINPUT8.DLL','DNSAPI.DLL','DPLAYX.DLL','DSOUND.DLL','FLTLIB.DLL','FLTMGR.SYS','GDI32.DLL','GDIPLUS.DLL','GLU32.DLL','HAL.DLL','IMAGEHLP.DLL','IMM32.DLL','IPHLPAPI.DLL','ISM.DLL','KERNEL32.DLL','KSECDD.SYS','LIBOPENCV_CORE246.DLL','LIBOPENCV_HIGHGUI246.DLL','LIBOPENCV_IMGPROC246.DLL','LZ32.DLL','MFC42.DLL','MFC42U.DLL','MFC80U.DLL','MOZALLOC.DLL','MPR.DLL','MSACM32.DLL','MSCOREE.DLL','MSI.DLL','MSIMG32.DLL','MSVBVM60.DLL','MSVCP100.DLL','MSVCP60.DLL','MSVCP71.DLL','MSVCP80.DLL','MSVCP90.DLL','MSVCR100.DLL','MSVCR100D.DLL','MSVCR71.DLL','MSVCR80.DLL','MSVCR90.DLL','MSVCRT.DLL','MSVFW32.DLL','MSWSOCK.DLL','NETAPI32.DLL','NETMGR.DLL','NEWDEV.DLL','NICM.SYS','NNOTES.DLL','NTDLL','NTDLL.DLL','NTOSKRNL.EXE','ODBC32.DLL','OLE32.DLL','OLEACC.DLL','OLEAUT32.DLL','OLEDLG.DLL','OLEPRO32.DLL','OPENGL32.DLL','PSAPI.DLL','QTCORE4.DLL','QTGUI4.DLL','RASAPI32.DLL','RPCRT4.DLL','SECUR32.DLL','SETUPAPI.DLL','SHELL32.DLL','SHFOLDER.DLL','SHLWAPI.DLL','SIGC-2.0.DLL','URLMON.DLL','USER32.DLL','USERDATA.DLL','USERENV.DLL','UXTHEME.DLL','VCOMP.DLL','VCRUNTIME140.DLL','VERSION.DLL','VMWAREBASE.DLL','VMWARECUI.DLL','VMWARESTRING.DLL','VMWAREWUI.DLL','WINHTTP.DLL','WININET.DLL','WINMM.DLL','WINSPOOL.DRV','WINTRUST.DLL','WLDAP32.DLL','WS2_32.DLL','WSOCK32.DLL','WTSAPI32.DLL','WWUTILS.DLL','XUL.DLL','ALBANIAN DEFAULT','AZERI LATIN','CHINESE SIMPLIFIED','CHINESE TRADITIONAL','CZECH DEFAULT','DIVEHI NEUTRAL','ENGLISH AUS','ENGLISH CAN','ENGLISH EIRE','ENGLISH NEUTRAL','ENGLISH UK','ENGLISH US','FRENCH','GERMAN AUSTRIAN','GERMAN','ICELANDIC DEFAULT','ITALIAN','JAPANESE DEFAULT','JAPANESE NEUTRAL','KOREAN','LITHUANIAN','NEUTRAL DEFAULT','NEUTRAL SYS DEFAULT','NEUTRAL','PORTUGUESE BRAZILIAN','RUSSIAN','SERBIAN DEFAULT','SORBIAN DEFAULT','SPANISH MODERN','SWEDISH','TURKISH DEFAULT',APTGroup
0,4d74c8da7274bb56bab01f47334a9551f57a6dcf,Equation Group,54299.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
1,cc221465dac981f4934fef39d41ddb2e1d26299f,APT 21,7627.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2,a49718feddf874a62049809af51e858ad41897c4,APT 1,38026.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,78c00614535b949770708069615764d0155cad76,Gorgon Group,396884.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10
4,44787ddf91b10291f8338590c5d99839040e1cd5,APT 21,6948.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6,2f1e006fae9b161fd6f43d1d3dc585d4dfed9a96,APT 1,103376.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0bfceffb5d78ceab6cfae711c9728fbd9a5e2edc,APT 1,35109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7640b1a91d48a1e20c7df7304a2e15df07e6a966,Equation Group,54299.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
9,49b973555890f1bda67a12a5927de1a9691005ca,Dark Hotel,45648.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7
10,263f094da3f64e72ef8dc3d02be4fb33de1fdb96,APT 30,28202.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
